"","date","country","activity","year","flu_activity_mean"
"476","2003-04-20","Hungary",0,"2003",0
"477","2003-04-20","Japan",0,"2003",8.80769230769231
"478","2003-04-20","Mexico",0,"2003",254.480769230769
"479","2003-04-20","Netherlands",0,"2003",15.1153846153846
"480","2003-04-20","New.Zealand",0,"2003",0
"481","2003-04-20","Norway",0,"2003",0
"482","2003-04-20","Paraguay",0,"2003",0
"483","2003-04-20","Peru",527,"2003",393.096153846154
"484","2003-04-20","Poland",0,"2003",0
"485","2003-04-20","Romania",726,"2003",630.173076923077
"486","2003-04-20","Russia",0,"2003",0
"487","2003-04-20","South.Africa",0,"2003",0
"488","2003-04-20","Spain",0,"2003",20.8269230769231
"489","2003-04-20","Sweden",0,"2003",0
"490","2003-04-20","Switzerland",0,"2003",23.5
"491","2003-04-20","Ukraine",0,"2003",0
"492","2003-04-20","United.States",0,"2003",831.365384615385
"493","2003-04-20","Uruguay",106,"2003",123.942307692308
"494","2003-04-27","Argentina",209,"2003",179.846153846154
"495","2003-04-27","Australia",0,"2003",0
"496","2003-04-27","Austria",0,"2003",195.730769230769
"497","2003-04-27","Belgium",0,"2003",68.9038461538462
"498","2003-04-27","Bolivia",525,"2003",433.903846153846
"499","2003-04-27","Brazil",299,"2003",238.192307692308
"500","2003-04-27","Bulgaria",0,"2003",0
"501","2003-04-27","Canada",0,"2003",899.692307692308
"502","2003-04-27","Chile",2,"2003",1.65384615384615
"503","2003-04-27","France",0,"2003",84.4230769230769
"504","2003-04-27","Germany",0,"2003",298.211538461538
"505","2003-04-27","Hungary",0,"2003",0
"506","2003-04-27","Japan",0,"2003",8.80769230769231
"507","2003-04-27","Mexico",0,"2003",254.480769230769
"508","2003-04-27","Netherlands",0,"2003",15.1153846153846
"509","2003-04-27","New.Zealand",0,"2003",0
"510","2003-04-27","Norway",0,"2003",0
"511","2003-04-27","Paraguay",0,"2003",0
"512","2003-04-27","Peru",567,"2003",393.096153846154
"513","2003-04-27","Poland",0,"2003",0
"514","2003-04-27","Romania",703,"2003",630.173076923077
"515","2003-04-27","Russia",0,"2003",0
"516","2003-04-27","South.Africa",0,"2003",0
"517","2003-04-27","Spain",0,"2003",20.8269230769231
"518","2003-04-27","Sweden",0,"2003",0
"519","2003-04-27","Switzerland",0,"2003",23.5
"520","2003-04-27","Ukraine",0,"2003",0
"521","2003-04-27","United.States",0,"2003",831.365384615385
"522","2003-04-27","Uruguay",104,"2003",123.942307692308
"523","2003-05-04","Argentina",239,"2003",179.846153846154
"524","2003-05-04","Australia",0,"2003",0
"525","2003-05-04","Austria",0,"2003",195.730769230769
"526","2003-05-04","Belgium",0,"2003",68.9038461538462
"527","2003-05-04","Bolivia",493,"2003",433.903846153846
"528","2003-05-04","Brazil",319,"2003",238.192307692308
"529","2003-05-04","Bulgaria",0,"2003",0
"530","2003-05-04","Canada",0,"2003",899.692307692308
"531","2003-05-04","Chile",4,"2003",1.65384615384615
"532","2003-05-04","France",0,"2003",84.4230769230769
"533","2003-05-04","Germany",0,"2003",298.211538461538
"534","2003-05-04","Hungary",0,"2003",0
"535","2003-05-04","Japan",0,"2003",8.80769230769231
